Year,Fresno,Kern,Tulare,San Joaquin,Kings,Madera,Yolo,Merced,Stanislaus,Colusa,Sutter,Butte,Glenn,Sacramento,Type
2007,932050.3,727261,567845.7,514874.3,480406.4,270076.4,,457837.8,,,,,,,CROPLAND
2008,961641.5,602051.6,617081.9,458469.3,454965.6,286130.4,,368443.7,,,,,,,CROPLAND
2009,793885.8,511802.4,544380.2,486871,402939.3,274063.6,,471355.9,,,,,,,CROPLAND
2010,845954.6,581086.3,590184.6,520316.5,453398.6,297846.6,,438089.4,,,,,,,CROPLAND
2011,995914.5,659816.7,522389.7,458700.2,410398,279608.5,,406987.1,,,,,,,CROPLAND
2012,981038.2,645552,493084.5,476787.8,408813.3,340993.8,,427681.9,,,,,,,CROPLAND
2013,984911.5,651474.2,521699.8,458649.7,386923.6,312738.8,,436124,,,,,,,CROPLAND
2014,966506.9,644769,538207.4,497358,349449.7,319482.9,,416010.7,,,,,,,CROPLAND
2015,901908.3,628239.2,1005992.9,686419.9,329183.6,566757.4,,418014.6,,,,,,,CROPLAND
2016,947307.7411,669330.6,518140.6,487232.8,369240.4,331220.5,,425034.4,,,,,,,CROPLAND
2007,150806.8,87766.1,39664.4,,93515.2,,21822.6,,,,,,,,FALLOW LAND
2008,64119.4,129534.4,39238.2,,114609.4,,65167.8,,,,,,,,FALLOW LAND
2009,189775.2,92698.5,45597.9,,149189.5,,46038.1,,,,,,,,FALLOW LAND
2010,162280,85291.7,38405.8,,132289,,57600.2,,,,,,,,FALLOW LAND
2011,213367.6,357282.6,155767.4,,177014.1,,109517.6,,,,,,,,FALLOW LAND
2012,201170,369830.5,116690.5,,198078.5,,69071.3,,,,,,,,FALLOW LAND
2013,153598.6,303307.8,101389.7,,216844.8,,77148,,,,,,,,FALLOW LAND
2014,245797.5,261393.8,88017.6,,214689.3,,104362.9,,,,,,,,FALLOW LAND
2015,334576.3,368269.1,189601,,283349.9,,192544.2,,,,,,,,FALLOW LAND
2016,287215.3,351972.2,112706.5,,244193.1,,97577.2,,,,,,,,FALLOW LAND
2007,189466.8,202527.4,,,,73514.5,,109267.1,98067.9,,,,,,ALMONDS
2008,254622.3,190750.1,,,,107365.4,,102790.3,111538.4,,,,,,ALMONDS
2009,129547.6,128826.9,,,,66628.6,,100804.2,125641.2,,,,,,ALMONDS
2010,102863.3,147617.8,,,,85507.6,,105477.3,132908.2,,,,,,ALMONDS
2011,223847.1,199949.9,,,,105930.1,,119288.9,141142.3,,,,,,ALMONDS
2012,227815.1,220061.1,,,,154159.7,,111315.9,113451.5,,,,,,ALMONDS
2013,224938.6,234867.9,,,,121115,,135574.2,151202.3,,,,,,ALMONDS
2014,220803.2,237057.1,,,,111397.5,,102415.6,112958.7,,,,,,ALMONDS
2015,245661.6,242925.9,,,,216603.9,,136736.9,297681.7,,,,,,ALMONDS
