Crop,Year,Acreage,Yield,Price
Almond,2007,998284.4,1.085,3500
Almond,2008,1183982.2,1.15,2900
Almond,2009,881023.6,0.94,3300
Almond,2010,907373.4,1.065,3580
Almond,2011,1127529,1.27,3980
Almond,2012,1147750.4,1.155,5160
Almond,2013,1208869.2,1.14,6420
Almond,2014,1143689.8,1.005,8000
Almond,2015,1828285,1,6260
Almond,2016,1478734.3,1.105,4780
Grape,2007,598338.8,7.9,870
Grape,2008,400725.9,8.19,827
Grape,2009,320014,8.05,1090
Grape,2010,345200.8,8.06,905
Grape,2011,505981.9,7.86,985
Grape,2012,613006.2,8.01,1370
Grape,2013,618391.1,8.85,1430
Grape,2014,790184.5,8.02,1520
Grape,2015,875282.7,7.93,1700
Grape,2016,750808.2,8.03,1500
Orange,2007,47556.1,10.89108911,195
Orange,2008,155629.7,14.85148515,161
Orange,2009,130676.5,11.25112511,227
Orange,2010,176256.5,14.13141314,220
Orange,2011,153997.6,15.61656166,179
Orange,2012,118803.6,14.76147615,238
Orange,2013,183996.1,14.35643564,234
Orange,2014,201280.7,13.41134113,365
Orange,2015,239508.1,13.32133213,298
Orange,2016,140554.4,16.78667867,254
Walnut,2007,297945,1.5,2290
Walnut,2008,297146.9,1.9,1280
Walnut,2009,308241.5,1.82,1710
Walnut,2010,349017.8,1.98,2040
Walnut,2011,348071.5,1.74,2900
Walnut,2012,330822.1,1.84,3030
Walnut,2013,363266.6,1.76,3710
Walnut,2014,385493.7,1.97,3340
Walnut,2015,593814.7,2.02,1670
Walnut,2016,415793.9,2.19,1850
Pistachio,2007,148745.3,1.81,2820
Pistachio,2008,124985.6,1.18,4100
Pistachio,2009,111676.1,1.41,3340
Pistachio,2010,165015.4,1.905,4440
Pistachio,2011,217780.9,1.45,3960
Pistachio,2012,199725,1.515,5220
Pistachio,2013,214431.8,1.16,6960
Pistachio,2014,217402.7,1.165,7140
Pistachio,2015,276196.7,0.58,6580
Pistachio,2016,295454.9,1.875,3360
Tomato,2007,94570.5,40.82,70.3
Tomato,2008,99834.7,42.37,78.6
Tomato,2009,136021.9,43.23,86.1
Tomato,2010,123853.2,45.54,71.4
Tomato,2011,305588.7,47.76,74.3
Tomato,2012,312236.6,48.99,75
Tomato,2013,297076,46.54,88.8
Tomato,2014,322000.2,48.48,98.6
Tomato,2015,425733.6,48.52,93
Tomato,2016,302856.8,49.02,86.3
Winter wheat,2007,560018,85.4,199
Winter wheat,2008,538287,89.6,260
Winter wheat,2009,589493,84.3,207
Winter wheat,2010,640081.1,85.5,191
Winter wheat,2011,467963.7,91.6,249
Winter wheat,2012,443974.4,90.9,294
Winter wheat,2013,453980.1,82.5,294
Winter wheat,2014,346972.3,83.4,276
Winter wheat,2015,480033.2,79.1,273
Winter wheat,2016,376775,79.7,186
Oats,2007,175450.9,182,198
Oats,2008,124315.1,195,259
Oats,2009,275509.4,180,211
Oats,2010,144568.4,192,227
Oats,2011,110021.2,181,246
Oats,2012,131405.9,180,269
Oats,2013,97222.1,191,219
Oats,2014,98482.9,165,207
Oats,2015,134594.6,157,211
Oats,2016,78804.7,185,246
Rice,2007,629441.2,8200,324
Rice,2008,519016.2,8320,550
Rice,2009,584068.5,8600,392
Rice,2010,599214.5,8020,420
Rice,2011,626782.2,8350,372
Rice,2012,583100.6,8150,372
Rice,2013,575203.6,8480,418
Rice,2014,471724.5,8580,436
Rice,2015,578556.4,8890,368
Rice,2016,555020.4,8840,286
Alfalfa,2007,1015401.2,14400,165
Alfalfa,2008,941452.4,14000,204
Alfalfa,2009,1121280.1,14000,107
Alfalfa,2010,1055979.4,13600,133
Alfalfa,2011,703365.8,13800,239
Alfalfa,2012,721747.3,13400,210
Alfalfa,2013,694937.2,14000,206
Alfalfa,2014,741797.3,13800,244
Alfalfa,2015,967926,13800,181
Alfalfa,2016,592377,14000,155
Corn,2007,459280,182,168
Corn,2008,363930.4,195,188
Corn,2009,344575.9,180,168
Corn,2010,352456.7,192,200
Corn,2011,261682.8,181,252
Corn,2012,255392.2,180,263
Corn,2013,264922.5,191,210
Corn,2014,172530.2,165,189
Corn,2015,220627,157,173
Corn,2016,154798.1,185,185
Cotton,2007,512645.7,1536,1712
Cotton,2008,331257.5,1379,1586
Cotton,2009,279809.7,1551,1891
Cotton,2010,385628.7,1337,2850
Cotton,2011,478574.2,1418,2490
Cotton,2012,384293.9,1658,2132
Cotton,2013,287224.9,1628,2625
Cotton,2014,236845.6,1594,2423
Cotton,2015,196159.4,1559,
Cotton,2016,235702.4,1660,
