Region,Year,fallow_cropland,total_cropland
Central Valley,2007,551848,5790067
Central Valley,2008,694386,5493658
Central Valley,2009,762977,5366486
Central Valley,2010,873841,5542830
Central Valley,2011,1564053,5571100
Central Valley,2012,1357402,5499312
Central Valley,2013,1264781,5523603
Central Valley,2014,1377864,5389482
Central Valley,2015,2187676,7141012
Central Valley,2016,1565239,5494844
San Joaquin Valley,2007,439247,4221169
San Joaquin Valley,2008,412558,3944249
San Joaquin Valley,2009,537109,3865179
San Joaquin Valley,2010,501712,3967500
San Joaquin Valley,2011,1041761,3981452
San Joaquin Valley,2012,962889,4010803
San Joaquin Valley,2013,878515,4027344
San Joaquin Valley,2014,904808,3997411
San Joaquin Valley,2015,1390193,5311995
San Joaquin Valley,2016,1105612,4009054
Sacramento Valley,2007,112600,1568897
Sacramento Valley,2008,281828,1549409
Sacramento Valley,2009,225868,1501307
Sacramento Valley,2010,372129,1575330
Sacramento Valley,2011,522291,1589648
Sacramento Valley,2012,394514,1488509
Sacramento Valley,2013,386266,1496259
Sacramento Valley,2014,473056,1392071
Sacramento Valley,2015,797484,1829018
Sacramento Valley,2016,459626,1485790
