Region,Year,Area,type
CV,2007,6341914,Total Cropland
CV,2008,6188044,Total Cropland
CV,2009,6129463,Total Cropland
CV,2010,6416671,Total Cropland
CV,2011,7135153,Total Cropland
CV,2012,6856714,Total Cropland
CV,2013,6788384,Total Cropland
CV,2014,6767346,Total Cropland
CV,2015,9328688,Total Cropland
CV,2016,7060082,Total Cropland
CV,2007,7067998.9,Pasture/Grass
CV,2008,6430905,Pasture/Grass
CV,2009,6169874,Pasture/Grass
CV,2010,7726779.8,Pasture/Grass
CV,2011,5965209.8,Pasture/Grass
CV,2012,6143538.2,Pasture/Grass
CV,2013,6186321,Pasture/Grass
CV,2014,6336627.1,Pasture/Grass
CV,2015,5429955,Pasture/Grass
CV,2016,5380347.9,Pasture/Grass
