Year,Area_ha,type
2007,2860320.203,Pasture
2008,2602497.221,Pasture
2009,2496861.63,Pasture
2010,3126919.61,Pasture
2011,2414036.893,Pasture
2012,2486203.9,Pasture
2013,2503517.5,Pasture
2014,2564344.275,Pasture
2015,2197426.769,Pasture
2016,2177351.47,Pasture
2007,4846230.509,Forest
2008,4828513.235,Forest
2009,4831841.858,Forest
2010,4522554.148,Forest
2011,4842978.938,Forest
2012,4827414.674,Forest
2013,4844071.955,Forest
2014,4815949.11,Forest
2015,5039559.331,Forest
2016,5049315.339,Forest
